domain,group,inventors_country_flag,work_num,std_variance_to_cen,mean_variance_to_centroid,max_variance_to_centroid,min_variance_to_centroid,Breadth
E1-1,cn,CN,146.0,0.7327726483345032,8.41911792755127,10.25245189666748,6.81064510345459,5.35306656197325
E1-1,us,US,1907.0,0.7445787787437439,8.476122856140137,11.891647338867188,6.174038410186768,5.394154277121558
E2-1,cn,CN,204.0,0.8377839922904968,8.076458930969238,10.711161613464355,6.237316608428955,4.95331274890836
E2-1,us,US,2401.0,0.7082663178443909,8.622637748718262,11.479185104370115,6.600412845611572,5.591059460958789
E21-1,cn,CN,875.0,0.813728392124176,8.18183708190918,11.813857078552246,6.400406837463379,5.0606313721110325
E21-1,us,US,21965.0,0.8411766886711121,8.394193649291992,12.154533386230469,6.1648688316345215,5.323109835994899
E3-1,cn,CN,248.0,1.1819357872009275,7.450646877288818,10.67905330657959,5.661677360534668,4.226636831619828
E3-1,us,US,1655.0,0.8311431407928467,8.163081169128418,11.79623317718506,6.159668445587158,4.993300667747548
E4-1,cn,CN,386.0,0.8111164569854736,8.51391315460205,11.017867088317873,6.562414646148682,5.446392785218578
E4-1,us,US,6400.0,0.8436686992645264,8.542403221130371,11.803956031799316,6.08742618560791,5.479271329393583
E5-1,cn,CN,282.0,1.0698199272155762,7.482544898986816,10.976204872131348,5.641655921936035,4.249919788001179
E5-1,us,US,4016.0,0.9086983799934388,7.99908971786499,11.466156959533691,5.486207962036133,4.811001997247814
E6-1,cn,CN,93.0,0.9793372750282288,7.807460308074951,11.241339683532717,6.385117053985596,4.669159879301006
E6-1,us,US,2414.0,0.8871591091156006,8.28216552734375,11.459684371948242,5.970227241516113,5.1769649334185175
F01-1,cn,CN,86.0,0.690840482711792,8.564238548278809,10.97506046295166,7.167306900024414,5.566949264621599
F01-1,us,US,8459.0,0.7208369970321655,8.840605735778809,12.107748985290527,6.578433990478516,5.879884543869167
F02-1,cn,CN,90.0,0.6962639093399048,8.542623519897461,10.110111236572266,7.445938110351562,5.524900147828561
F02-1,us,US,9598.0,0.8229836225509644,8.57369327545166,12.515149116516112,6.090555667877197,5.516168988331472
F03-1,cn,CN,93.0,0.8371285796165466,8.502023696899414,10.629569053649902,6.590084075927734,5.510693239574962
F03-1,us,US,1550.0,0.7812663912773132,8.914429664611816,12.464853286743164,6.790505886077881,5.975873307190824
F04-1,cn,CN,264.0,0.830920398235321,8.188430786132812,10.45558261871338,6.510913848876953,5.068203058986157
F04-1,us,US,4198.0,0.7702299952507019,8.571406364440918,11.072989463806152,6.220486640930176,5.4939140498320285
F1-1,us,US,12779.0,0.7648341059684753,8.692426681518555,12.654190063476562,6.417835235595703,5.687907486810545
F15-1,cn,CN,107.0,1.2081302404403689,7.848673820495605,11.149837493896484,6.240107536315918,4.742080375244754
F15-1,us,US,2143.0,0.9610634446144104,8.265172958374023,11.528047561645508,5.970080852508545,5.121827572166097
F16-1,cn,CN,2199.0,0.7980749011039734,8.412586212158203,11.015569686889648,6.398252964019775,5.303188725263482
F16-1,us,US,35358.0,0.7760069966316223,8.85377025604248,12.304694175720217,6.567338466644287,5.867397407213986
F17-1,cn,CN,55.0,0.5748389959335327,8.091536521911621,9.594063758850098,6.899743556976318,4.980603875937277
F17-1,us,US,1523.0,0.7898181676864624,8.380967140197754,11.334824562072754,6.198836803436279,5.232541796564959
F2-1,cn,CN,236.0,0.756752073764801,8.419925689697266,11.228802680969238,6.769274711608887,5.330676595484604
F2-1,us,US,13513.0,0.7778258323669434,8.551355361938477,12.598480224609377,6.214969158172607,5.4850279253529095
F21-1,cn,CN,2714.0,0.9119184017181396,7.932569026947021,11.712933540344238,5.788517951965332,4.793139031343102
F21-1,us,US,11936.0,0.9393043518066406,8.444967269897461,12.75979995727539,5.717042446136475,5.379610951903246
F22-1,us,US,667.0,0.8762166500091553,8.238818168640137,11.005531311035156,6.199208736419678,5.130759442833835
F23-1,cn,CN,117.0,1.0146199464797974,7.892145156860352,10.947936058044434,6.107115268707275,4.776928170026665
F23-1,us,US,4027.0,1.0705180168151855,8.281554222106934,12.030744552612305,5.800009727478027,5.202869163919161
F24-1,cn,CN,645.0,0.921780288219452,8.383574485778809,11.601622581481934,5.940353870391846,5.317166767976048
F24-1,us,US,7245.0,0.7522814273834229,8.68544864654541,11.78476619720459,6.319015979766846,5.668654756416586
F25-1,cn,CN,621.0,0.7826905250549316,8.044286727905273,11.22192096710205,6.2240309715271,4.867673281799455
F25-1,us,US,6738.0,0.8457388281822205,8.410112380981445,11.855680465698242,5.828510284423828,5.315872560685605
F26-1,us,US,1150.0,0.7751286625862122,8.410323143005371,11.31889820098877,6.1933913230896,5.378232836664694
F27-1,us,US,994.0,0.823150634765625,8.477677345275879,11.22121238708496,6.354926586151123,5.475801103370458
F28-1,cn,CN,487.0,1.0004830360412598,7.767501831054687,11.037063598632812,5.694699764251709,4.631551362961858
F28-1,us,US,4342.0,0.8758176565170288,8.210572242736816,11.870158195495604,5.647071361541748,5.0974489179436375
F3-1,us,US,2018.0,0.7603370547294617,8.838329315185547,12.33892822265625,6.6779632568359375,5.8737578697904524
F4-1,us,US,5996.0,0.7558342814445496,8.520169258117676,11.477839469909668,6.165222644805908,5.428045337767813
F41-1,us,US,6374.0,0.8938062787055969,8.381927490234375,11.640583038330078,6.090493202209473,5.248028777335506
