domain,group,betweeness centrality_std_cor,betweeness centrality_average_cor,degree_std_cor,degree_average_cor,closeness centrality_std_cor,closeness centrality_average_cor
Ethanol-2,cn,0.0120133204442838,0.8529998411681085,0.0064516739165113,0.920340326666069,0.016556209853571,0.8970359486157827
Ethanol-2,us,0.0111608018625799,0.8721409416526849,0.0070356448290602,0.93480238390143,0.0605464034846104,0.881988380285876
Ethanolamine-2,cn,0.3666263910960714,0.6923787117607128,0.3842829108772986,0.654292500711745,0.3654756395325279,0.654721497588828
Ethanolamine-2,us,0.4898979485566356,0.6,0.4898979485566355,0.6,0.4898979485566355,0.6
Ether anesthesia-2,cn,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666
Ether anesthesia-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ether-2,cn,0.0146136290258761,0.8529902300211413,0.007459504929089,0.919932752923388,0.023555757973243,0.8700428123876434
Ether-2,us,0.3872006008461433,0.3160595133960989,0.4562773924552197,0.3724526290062403,0.4524965936703156,0.3694355153043661
Ethernet-2,cn,0.4393859055855525,0.3583035477980371,0.4526368685243294,0.3686911127984203,0.4493916575521214,0.3667233711830314
Ethernet-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethical code-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethical code-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethical decision-2,us,0.1112509945755416,0.8986250120632551,0.0935592078025592,0.9311666172415456,0.0886324107849917,0.9324479396716304
Ethical dilemma-2,cn,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethical dilemma-2,us,0.4,0.8,0.4000000000000001,0.8,0.4000000000000001,0.8
Ethical egoism-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Ethical egoism-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethical issues-2,cn,0.4898979485566356,0.4,0.4898979485566356,0.4,0.4898979485566356,0.4
Ethical issues-2,us,0.4898979485566356,0.6,0.4898979485566356,0.6,0.4898979485566356,0.6
Ethical leadership-2,cn,0.1033520605161734,0.9483239697419132,0.1038594115621758,0.948070294218912,0.2838479909833399,0.8580760045083299
Ethical leadership-2,us,0.4608960903504066,0.5629589542373186,0.4779633836382848,0.5849533757262451,0.4416784592266012,0.5374953586508135
Ethical responsibility-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethical standards-2,cn,0.4,0.8,0.4,0.8,0.4,0.8
Ethical values-2,cn,0.5,0.5,0.5,0.5,0.5,0.5
Ethical values-2,us,0.4,0.8,0.4,0.8,0.4,0.8
Ethics committee-2,cn,0.4089958063358954,0.6809367161139365,0.4323476822047695,0.748840976604282,0.4323476822047695,0.748840976604282
Ethics committee-2,us,0.4,0.8,0.3999999999999999,0.8,0.3999999999999999,0.8
Ethnic group-2,cn,0.4433616761145344,0.5424459549948664,0.4702235839102354,0.5752023554343232,0.45556062135812,0.5547958075510968
